Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,4,0,1,Import,620,Portugal,PRT,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,58440,,,,58440,,85971,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,9593810,,,,9593810,,36774487,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,15829,,,,15829,,77344,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,112,Belarus,BLR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,27,,,,27,,215,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,116,Cambodia,KHM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,203,,,,203,,2244,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,120,Cameroon,CMR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,33922,,,,33922,,44502,,,2
H4,2012,2012,2012,4,0,1,Import,620,Portugal,PRT,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,2080,,,,2080,,20884,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,8462404,,,,8462404,,47658695,,,2
H4,2012,2012,2012,4,0,1,Import,620,Portugal,PRT,132,Cabo Verde,CPV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,12014,,,,12014,,44666,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,132,Cabo Verde,CPV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,3705682,,,,3705682,,4184815,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,136,Cayman Isds,CYM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,2261,,,,2261,,14812,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,144,Sri Lanka,LKA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,375,,,,375,,2104,,,2
H4,2012,2012,2012,4,0,1,Import,620,Portugal,PRT,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,65368,,,,65368,,267284,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,10802,,,,10802,,81595,,,2
H4,2012,2012,2012,4,0,1,Import,620,Portugal,PRT,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,51492,,,,51492,,76452,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,6040870,,,,6040870,,13776615,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,170,Colombia,COL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,11900,,,,11900,,72661,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,178,Congo,COG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,25796,,,,25796,,78591,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,180,Dem. Rep. of the Congo,COD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,199002,,,,199002,,352443,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,188,Costa Rica,CRI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,10024,,,,10024,,33080,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,191,Croatia,HRV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,6534,,,,6534,,46530,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,192,Cuba,CUB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,2180,,,,2180,,26319,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,235739,,,,235739,,821101,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,359612,,,,359612,,1472038,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,204,Benin,BEN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,46086,,,,46086,,138256,,,2
H4,2012,2012,2012,4,0,1,Import,620,Portugal,PRT,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,16024,,,,16024,,557893,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,2498495,,,,2498495,,12101341,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,214,Dominican Rep.,DOM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,17228,,,,17228,,48949,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,226,Equatorial Guinea,GNQ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,2433,,,,2433,,46744,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,233,Estonia,EST,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,101070,,,,101070,,466288,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,242,Fiji,FJI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,320,,,,320,,983,,,2
