Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2020,2020,2020,4,0,2,Export,860,Uzbekistan,UZB,762,Tajikistan,TJK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,23218,,,,23218,,28234,,,0
H5,2020,2020,2020,4,0,1,Import,860,Uzbekistan,UZB,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,540,,,,540,,1635,,,0
H5,2020,2020,2020,4,0,2,Export,860,Uzbekistan,UZB,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,2160,,,,2160,,7784,,,0
H5,2021,2021,2021,4,0,1,Import,860,Uzbekistan,UZB,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,217623,,,,219888,,1095496,,,6
H5,2021,2021,2021,4,0,2,Export,860,Uzbekistan,UZB,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",1,No Quantity,0,,,,,,2230469,,,6
H5,2021,2021,2021,4,0,1,Import,860,Uzbekistan,UZB,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,5078,,,,5153,,23371,,,6
H5,2021,2021,2021,4,0,1,Import,860,Uzbekistan,UZB,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,581,,,,585,,3082,,,6
H5,2021,2021,2021,4,0,2,Export,860,Uzbekistan,UZB,112,Belarus,BLR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,244183,,,,242531,,232360,,,6
H5,2021,2021,2021,4,0,1,Import,860,Uzbekistan,UZB,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,9330,,,,9468,,42939,,,6
H5,2021,2021,2021,4,0,2,Export,860,Uzbekistan,UZB,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,15,,,,15,,71,,,6
H5,2021,2021,2021,4,0,1,Import,860,Uzbekistan,UZB,233,Estonia,EST,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,5817,,,,5839,,33064,,,6
H5,2021,2021,2021,4,0,2,Export,860,Uzbekistan,UZB,233,Estonia,EST,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,5032,,,,5098,,22888,,,6
H5,2021,2021,2021,4,0,1,Import,860,Uzbekistan,UZB,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,79292,,,,79900,,420549,,,6
H5,2021,2021,2021,4,0,1,Import,860,Uzbekistan,UZB,268,Georgia,GEO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,24818,,,,25172,,115523,,,6
H5,2021,2021,2021,4,0,1,Import,860,Uzbekistan,UZB,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1512,,,,1535,,6963,,,6
H5,2021,2021,2021,4,0,1,Import,860,Uzbekistan,UZB,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,55498,,,,56061,,280815,,,6
H5,2021,2021,2021,4,0,2,Export,860,Uzbekistan,UZB,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",1,No Quantity,0,,,,,,1012,,,6
H5,2021,2021,2021,4,0,2,Export,860,Uzbekistan,UZB,398,Kazakhstan,KAZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,820837,,,,853588,,1244668,,,6
H5,2021,2021,2021,4,0,2,Export,860,Uzbekistan,UZB,417,Kyrgyzstan,KGZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,155946,,,,171683,,363302,,,6
H5,2021,2021,2021,4,0,1,Import,860,Uzbekistan,UZB,428,Latvia,LVA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,12366,,,,12506,,61083,,,6
H5,2021,2021,2021,4,0,2,Export,860,Uzbekistan,UZB,496,Mongolia,MNG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,4697,,,,4759,,21467,,,6
H5,2021,2021,2021,4,0,1,Import,860,Uzbekistan,UZB,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,5875,,,,5962,,27041,,,6
H5,2021,2021,2021,4,0,1,Import,860,Uzbekistan,UZB,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,134,,,,136,,618,,,6
H5,2021,2021,2021,4,0,2,Export,860,Uzbekistan,UZB,643,Russian Federation,RUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,49273,,,,49915,,224100,,,6
H5,2021,2021,2021,4,0,1,Import,860,Uzbekistan,UZB,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,546,,,,554,,2515,,,6
H5,2021,2021,2021,4,0,1,Import,860,Uzbekistan,UZB,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,14234,,,,14437,,66254,,,6
H5,2021,2021,2021,4,0,1,Import,860,Uzbekistan,UZB,729,Sudan,SDN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1878,,,,1906,,8647,,,6
H5,2021,2021,2021,4,0,2,Export,860,Uzbekistan,UZB,762,Tajikistan,TJK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,2969,,,,3007,,14113,,,6
H5,2021,2021,2021,4,0,2,Export,860,Uzbekistan,UZB,795,Turkmenistan,TKM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",1,No Quantity,0,,,,,,9900,,,6
H5,2021,2021,2021,4,0,2,Export,860,Uzbekistan,UZB,804,Ukraine,UKR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,94764,,,,94653,,96588,,,6
H5,2021,2021,2021,4,0,1,Import,860,Uzbekistan,UZB,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,658,,,,668,,3030,,,6
